dex_no,name_en,generation,forms,category,height_m,weight_kg,hatch_time,name_fr,name_es,name_de,name_it,has_gender,female_percent,male_percent,is_breedable,catch_rate,leveling_rate,pokedex_colour,base_friendship,base_hp,base_atk,base_def,base_spatk,base_spdef,base_speed,base_experience_yield,egg_group_0,egg_group_1,type_0,type_1,ev_yield_hp,ev_yield_attack,ev_yield_defense,ev_yield_special_attack,ev_yield_special_defense,ev_yield_speed,description_violet,ability_0,ability_1,hidden_ability,is_legendary,is_mythical,is_part_of_evolution,stage,evolution_level,bulbapedia_link
11,Metapod,1,1,Cocoon Pokemon,0.7,9.9,15,Chrysacier,Metapod,Safcon,Metapod,TRUE,50,50,TRUE,120,Medium Fast,Green,70,50,20,55,25,25,30,72,Bug,,Bug,,0,0,2,0,0,0,,Shed Skin,,,FALSE,FALSE,TRUE,stage 1,10,https://bulbapedia.bulbagarden.net/wiki/Metapod_(Pok%C3%A9mon)
12,Butterfree,1,1,Butterfly Pokemon,1.1,32,15,Papilusion,Butterfree,Smettbo,Butterfree,TRUE,50,50,TRUE,45,Medium Fast,White,70,60,45,50,80,80,70,178,Bug,,Bug,Flying,0,0,0,2,1,0,,Compound Eyes,,Tinted Lens,FALSE,FALSE,TRUE,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Butterfree_(Pok%C3%A9mon)
13,Weedle,1,1,Hairy Bug Pokemon,0.3,3.2,15,Aspicot,Weedle,Hornliu,Weedle,TRUE,50,50,TRUE,255,Medium Fast,Brown,70,40,35,30,20,20,50,39,Bug,,Bug,Poison,0,0,0,0,0,1,,Shield Dust,,Run Away,FALSE,FALSE,TRUE,basic,7,https://bulbapedia.bulbagarden.net/wiki/Weedle_(Pok%C3%A9mon)
14,Kakuna,1,1,Cocoon Pokemon,0.6,10,15,Coconfort,Kakuna,Kokuna,Kakuna,TRUE,50,50,TRUE,120,Medium Fast,Yellow,70,45,25,50,25,25,35,72,Bug,,Bug,Poison,0,0,2,0,0,0,,Shed Skin,,,FALSE,FALSE,TRUE,stage 1,10,https://bulbapedia.bulbagarden.net/wiki/Kakuna_(Pok%C3%A9mon)
15,Beedrill,1,1,Poison Bee Pokemon,1,29.5,15,Dardargnan,Beedrill,Bibor,Beedrill,TRUE,50,50,TRUE,45,Medium Fast,Yellow,70,65,80,40,45,80,75,178,Bug,,Bug,Poison,0,2,0,0,1,0,,Swarm,,Sniper,FALSE,FALSE,TRUE,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pok%C3%A9mon)
16,Pidgey,1,1,Tiny Bird Pokemon,0.3,1.8,15,Roucool,Pidgey,Taubsi,Pidgey,TRUE,50,50,TRUE,255,Medium Slow,Brown,70,40,45,40,35,35,56,50,Flying,,Normal,Flying,0,0,0,0,0,1,,Keen Eye,Tangled Feet,Big Pecks,FALSE,FALSE,TRUE,basic,18,https://bulbapedia.bulbagarden.net/wiki/Pidgey_(Pok%C3%A9mon)
17,Pidgeotto,1,1,Bird Pokemon,1.1,30,15,Roucoups,Pidgeotto,Tauboga,Pidgeotto,TRUE,50,50,TRUE,120,Medium Slow,Brown,70,63,60,55,50,50,71,122,Flying,,Normal,Flying,0,0,0,0,0,2,,Keen Eye,Tangled Feet,Big Pecks,FALSE,FALSE,TRUE,stage 1,36,https://bulbapedia.bulbagarden.net/wiki/Pidgeotto_(Pok%C3%A9mon)
18,Pidgeot,1,1,Bird Pokemon,1.5,39.5,15,Roucarnage,Pidgeot,Tauboss,Pidgeot,TRUE,50,50,TRUE,45,Medium Slow,Brown,70,83,80,75,70,70,91,216,Flying,,Normal,Flying,0,0,0,0,0,3,,Keen Eye,Tangled Feet,Big Pecks,FALSE,FALSE,TRUE,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pok%C3%A9mon)
19,Rattata,1,2,Mouse Pokemon,0.3,3.5,15,Rattata,Rattata,Rattfratz,Rattata,TRUE,50,50,TRUE,255,Medium Fast,Purple,70,30,56,35,25,35,72,51,Field,,Normal,,0,0,0,0,0,1,,Run Away,Guts,Hustle,FALSE,FALSE,TRUE,basic,20,https://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon)
20,Raticate,1,2,Mouse Pokemon,0.7,18.5,15,Rattatac,Raticate,Rattikarl,Raticate,TRUE,50,50,TRUE,127,Medium Fast,Brown,70,55,81,60,50,70,97,145,Field,,Normal,,0,0,0,0,0,2,,Run Away,Guts,Hustle,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Raticate_(Pok%C3%A9mon)
21,Spearow,1,1,Tiny Bird Pokemon,0.3,2,15,Piafabec,Spearow,Habitak,Spearow,TRUE,50,50,TRUE,255,Medium Fast,Brown,70,40,60,30,31,31,70,52,Flying,,Normal,Flying,0,0,0,0,0,1,,Keen Eye,,Sniper,FALSE,FALSE,TRUE,basic,20,https://bulbapedia.bulbagarden.net/wiki/Spearow_(Pok%C3%A9mon)
22,Fearow,1,1,Beak Pokemon,1.2,38,15,Rapasdepic,Fearow,Ibitak,Fearow,TRUE,50,50,TRUE,90,Medium Fast,Brown,70,65,90,65,61,61,100,155,Flying,,Normal,Flying,0,0,0,0,0,2,,Keen Eye,,Sniper,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Fearow_(Pok%C3%A9mon)
23,Ekans,1,1,Snake Pokemon,2,6.9,20,Abo,Ekans,Rettan,Ekans,TRUE,50,50,TRUE,255,Medium Fast,Purple,70,35,60,44,40,54,55,58,Field,Dragon,Poison,,0,1,0,0,0,0,A very common sight in grasslands and such. It flicks its tongue in and out to sense danger in its surroundings.,Intimidate,Shed Skin,Unnerve,FALSE,FALSE,TRUE,basic,22,https://bulbapedia.bulbagarden.net/wiki/Ekans_(Pok%C3%A9mon)
24,Arbok,1,1,Cobra Pokemon,3.5,65,20,Arbok,Arbok,Arbok,Arbok,TRUE,50,50,TRUE,90,Medium Fast,Purple,70,60,85,69,65,79,80,157,Field,Dragon,Poison,,0,2,0,0,0,0,"This Pokemon is very tenacious. Once it targets its prey, it won't give up the chase, no matter how far the prey goes.",Intimidate,Shed Skin,Unnerve,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Arbok_(Pok%C3%A9mon)
25,Pikachu,1,1,Mouse Pokemon,0.4,6,10,Pikachu,Pikachu,Pikachu,Pikachu,TRUE,50,50,TRUE,190,Medium Fast,Yellow,70,35,55,30,50,40,90,112,Field,Fairy,Electric,,0,0,0,0,0,2,"When several of these Pokemon gather, their electricity can build and cause lightning storms.",Static,,Lightning Rod,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pok%C3%A9mon)
26,Raichu,1,2,Mouse Pokemon,0.8,30,10,Raichu,Raichu,Raichu,Raichu,TRUE,50,50,TRUE,75,Medium Fast,Yellow,70,60,90,55,90,80,100,218,Field,Fairy,Electric,,0,0,0,0,0,3,"If the electric pouches in its cheeks become fully charged, both ears will stand straight up.",Static,,Lightning Rod,FALSE,FALSE,TRUE,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Raichu_(Pok%C3%A9mon)
27,Sandshrew,1,2,Mouse Pokemon,0.6,12,20,Sabelette,Sandshrew,Sandan,Sandshrew,TRUE,50,50,TRUE,255,Medium Fast,Yellow,70,50,75,85,20,30,40,60,Field,,Ground,,0,0,1,0,0,0,"No matter how high a place it falls from, this Pokemon can save itself by rolling in a ball and bouncing.",Sand Veil,,Sand Rush,FALSE,FALSE,TRUE,basic,22,https://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pok%C3%A9mon)
28,Sandslash,1,2,Mouse Pokemon,1,29.5,20,Sablaireau,Sandslash,Sandamer,Sandslash,TRUE,50,50,TRUE,90,Medium Fast,Yellow,70,75,100,110,45,55,65,158,Field,,Ground,,0,0,2,0,0,0,The spikes on its body are made up of its hardened hide. It rolls up and attacks foes with its spikes.,Sand Veil,,Sand Rush,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pok%C3%A9mon)
29,Nidoran?,1,1,Poison Pin Pokemon,0.4,7,20,Nidoran?,Nidoran?,Nidoran?,Nidoran?,TRUE,100,0,TRUE,235,Medium Slow,Blue,70,55,47,52,40,40,41,55,Monster,Field,Poison,,1,0,0,0,0,0,,Poison Point,Rivalry,Hustle,FALSE,FALSE,TRUE,basic,16,https://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%80_(Pok%C3%A9mon)
30,Nidorina,1,1,Poison Pin Pokemon,0.8,20,20,Nidorina,Nidorina,Nidorina,Nidorina,TRUE,100,0,TRUE,120,Medium Slow,Blue,70,70,62,67,55,55,56,128,No Eggs Discovered,,Poison,,2,0,0,0,0,0,,Poison Point,Rivalry,Hustle,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Nidorina_(Pok%C3%A9mon)
31,Nidoqueen,1,1,Drill Pokemon,1.3,60,20,Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen,TRUE,100,0,TRUE,45,Medium Slow,Blue,70,90,82,87,75,85,76,227,No Eggs Discovered,,Poison,Ground,3,0,0,0,0,0,,Poison Point,Rivalry,Sheer Force,FALSE,FALSE,TRUE,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Nidoqueen_(Pok%C3%A9mon)
32,Nidoran?,1,1,Poison Pin Pokemon,0.5,9,20,Nidoran?,Nidoran?,Nidoran?,Nidoran?,TRUE,0,100,TRUE,235,Medium Slow,Purple,70,46,57,40,40,40,50,55,Monster,Field,Poison,,0,1,0,0,0,0,,Poison Point,Rivalry,Hustle,FALSE,FALSE,TRUE,basic,16,https://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%82_(Pok%C3%A9mon)
33,Nidorino,1,1,Poison Pin Pokemon,0.9,19.5,20,Nidorino,Nidorino,Nidorino,Nidorino,TRUE,0,100,TRUE,120,Medium Slow,Purple,70,61,72,57,55,55,65,128,Monster,Field,Poison,,0,2,0,0,0,0,,Poison Point,Rivalry,Hustle,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Nidorino_(Pok%C3%A9mon)
34,Nidoking,1,1,Drill Pokemon,1.4,62,20,Nidoking,Nidoking,Nidoking,Nidoking,TRUE,0,100,TRUE,45,Medium Slow,Purple,70,81,92,77,85,75,85,227,Monster,Field,Poison,Ground,0,3,0,0,0,0,,Poison Point,Rivalry,Sheer Force,FALSE,FALSE,TRUE,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Nidoking_(Pok%C3%A9mon)
35,Clefairy,1,1,Fairy Pokemon,0.6,7.5,10,Melofee,Clefairy,Piepi,Clefairy,TRUE,75,25,TRUE,150,Fast,Pink,140,70,45,48,60,65,35,113,Fairy,,Fairy,,2,0,0,0,0,0,"On nights with a full moon, they gather together and dance. The surrounding area is enveloped in an abnormal magnetic field.",Cute Charm,Magic Guard,Friend Guard,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Clefairy_(Pok%C3%A9mon)
36,Clefable,1,1,Fairy Pokemon,1.3,40,10,Melodelfe,Clefable,Pixi,Clefable,TRUE,75,25,TRUE,25,Fast,Pink,140,95,70,73,85,90,60,217,Fairy,,Fairy,,3,0,0,0,0,0,"It has an acute sense of hearing. It can easily hear a pin being dropped nearly 1,100 yards away.",Cute Charm,Magic Guard,Unaware,FALSE,FALSE,TRUE,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Clefable_(Pok%C3%A9mon)
37,Vulpix,1,2,Fox Pokemon,0.6,9.9,20,Goupix,Vulpix,Vulpix,Vulpix,TRUE,75,25,TRUE,190,Medium Fast,Brown,70,38,41,40,50,65,65,60,Field,,Fire,,0,0,0,0,0,1,"As its body grows larger, its six warm tails become more beautiful, with a more luxurious coat of fur.",Flash Fire,,Drought,FALSE,FALSE,TRUE,basic,,https://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pok%C3%A9mon)
38,Ninetales,1,2,Fox Pokemon,1.1,19.9,20,Feunard,Ninetales,Vulnona,Ninetales,TRUE,75,25,TRUE,75,Medium Fast,Yellow,70,73,76,75,81,100,100,177,Field,,Fire,,0,0,0,0,1,1,"It has nine long tails and fur that gleams gold. It is said to live for 1,000 years.",Flash Fire,,Drought,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pok%C3%A9mon)
39,Jigglypuff,1,1,Balloon Pokemon,0.5,5.5,10,Rondoudou,Jigglypuff,Pummeluff,Jigglypuff,TRUE,75,25,TRUE,170,Fast,Pink,70,115,45,20,45,25,20,95,Fairy,,Normal,Fairy,2,0,0,0,0,0,"If it inflates to sing a lullaby, it can perform longer and cause sure drowsiness in its audience.",Cute Charm,Competitive,Friend Guard,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Jigglypuff_(Pok%C3%A9mon)
40,Wigglytuff,1,1,Balloon Pokemon,1,12,10,Grodoudou,Wigglytuff,Knuddeluff,Wigglytuff,TRUE,75,25,TRUE,50,Fast,Pink,70,140,70,45,75,50,45,196,Fairy,,Normal,Fairy,3,0,0,0,0,0,"The rich, fluffy fur that covers its body feels so good that anyone who feels it can't stop touching it.",Cute Charm,Competitive,Frisk,FALSE,FALSE,TRUE,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Wigglytuff_(Pok%C3%A9mon)
41,Zubat,1,1,Bat Pokemon,0.8,7.5,15,Nosferapti,Zubat,Zubat,Zubat,TRUE,50,50,TRUE,255,Medium Fast,Purple,70,40,45,35,30,40,55,49,Flying,,Poison,Flying,0,0,0,0,0,1,,Inner Focus,,Infiltrator,FALSE,FALSE,TRUE,basic,22,https://bulbapedia.bulbagarden.net/wiki/Zubat_(Pok%C3%A9mon)
42,Golbat,1,1,Bat Pokemon,1.6,55,15,Nosferalto,Golbat,Golbat,Golbat,TRUE,50,50,TRUE,90,Medium Fast,Purple,70,75,80,70,65,75,90,159,Flying,,Poison,Flying,0,0,0,0,0,2,,Inner Focus,,Infiltrator,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Golbat_(Pok%C3%A9mon)
43,Oddish,1,1,Weed Pokemon,0.5,5.4,20,Mystherbe,Oddish,Myrapla,Oddish,TRUE,50,50,TRUE,255,Medium Slow,Blue,70,45,50,55,75,65,30,64,Grass,,Grass,Poison,0,0,0,1,0,0,"When it is woken by moonlight, it wanders about. But during the day, it stays still underground.",Chlorophyll,,Run Away,FALSE,FALSE,TRUE,basic,21,https://bulbapedia.bulbagarden.net/wiki/Oddish_(Pok%C3%A9mon)
44,Gloom,1,1,Weed Pokemon,0.8,8.6,20,Ortide,Gloom,Duflor,Gloom,TRUE,50,50,TRUE,120,Medium Slow,Blue,70,60,65,70,85,75,40,138,Grass,,Grass,Poison,0,0,0,2,0,0,"It secretes a sticky, drool-like nectar. Though sweet, it smells too repulsive to get very close.",Chlorophyll,,Stench,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Gloom_(Pok%C3%A9mon)
45,Vileplume,1,1,Flower Pokemon,1.2,18.6,20,Rafflesia,Vileplume,Giflor,Vileplume,TRUE,50,50,TRUE,45,Medium Slow,Red,70,75,80,85,100,90,50,221,Grass,,Grass,Poison,0,0,0,3,0,0,"It fiendishly scatters allergenic pollen from its petals, which are the largest in the world.",Chlorophyll,,Effect Spore,FALSE,FALSE,TRUE,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pok%C3%A9mon)
46,Paras,1,1,Mushroom Pokemon,0.3,5.4,20,Paras,Paras,Paras,Paras,TRUE,50,50,TRUE,190,Medium Fast,Red,70,35,70,55,45,55,25,57,Bug,Grass,Bug,Grass,0,1,0,0,0,0,,Effect Spore,Dry Skin,Damp,FALSE,FALSE,TRUE,basic,24,https://bulbapedia.bulbagarden.net/wiki/Paras_(Pok%C3%A9mon)
47,Parasect,1,1,Mushroom Pokemon,1,29.5,20,Parasect,Parasect,Parasek,Parasect,TRUE,50,50,TRUE,75,Medium Fast,Red,70,60,95,80,60,80,30,142,Bug,Grass,Bug,Grass,0,2,1,0,0,0,,Effect Spore,Dry Skin,Damp,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Parasect_(Pok%C3%A9mon)
48,Venonat,1,1,Insect Pokemon,1,30,20,Mimitoss,Venonat,Bluzuk,Venonat,TRUE,50,50,TRUE,190,Medium Fast,Purple,70,60,55,50,40,55,45,61,Bug,,Bug,Poison,0,0,0,0,1,0,"Its eyes act as radar, enabling it to be active in darkness. The eyes can also shoot powerful beams.",Compound Eyes,Tinted Lens,Run Away,FALSE,FALSE,TRUE,basic,31,https://bulbapedia.bulbagarden.net/wiki/Venonat_(Pok%C3%A9mon)
49,Venomoth,1,1,Poison Moth Pokemon,1.5,12.5,20,Aeromite,Venomoth,Omot,Venomoth,TRUE,50,50,TRUE,75,Medium Fast,Purple,70,70,65,60,90,75,90,158,Bug,,Bug,Poison,0,0,0,1,0,1,"When it attacks, it flaps its large wings violently to scatter its poisonous powder all around.",Shield Dust,Tinted Lens,Wonder Skin,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pok%C3%A9mon)
50,Diglett,1,2,Mole Pokemon,0.2,0.8,20,Taupiqueur,Diglett,Digda,Diglett,TRUE,50,50,TRUE,255,Medium Fast,Brown,70,10,55,25,35,45,95,53,Field,,Ground,,0,0,0,0,0,1,"Its skin is very thin. If it is exposed to light, its blood heats up, causing it to grow weak.",Sand Veil,Arena Trap,Sand Force,FALSE,FALSE,TRUE,basic,26,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon)
51,Dugtrio,1,2,Mole Pokemon,0.7,33.3,20,Triopikeur,Dugtrio,Digdri,Dugtrio,TRUE,50,50,TRUE,50,Medium Fast,Brown,70,35,80,50,50,70,120,149,Field,,Ground,,0,0,0,0,0,2,"In battle, it digs through the ground and strikes the unsuspecting foe from an unexpected direction.",Sand Veil,Arena Trap,Sand Force,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon)
52,Meowth,1,3,Scratch Cat Pokemon,0.4,4.2,20,Miaouss,Meowth,Mauzi,Meowth,TRUE,50,50,TRUE,255,Medium Fast,Yellow,70,40,45,35,40,40,90,58,Field,,Normal,,0,0,0,0,0,1,"It loves things that sparkle. When it sees a shiny object, the gold coin on its head shines, too.",Pickup,Technician,Unnerve,FALSE,FALSE,TRUE,basic,28,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)
53,Persian,1,2,Classy Cat Pokemon,1,32,20,Persian,Persian,Snobilikat,Persian,TRUE,50,50,TRUE,90,Medium Fast,Yellow,70,65,70,60,65,65,115,154,Field,,Normal,,0,0,0,0,0,2,It has a vicious temperament. Beware if it raises its tail straight up. This is a signal that it is about to pounce and bite.,Limber,Technician,Unnerve,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon)
54,Psyduck,1,1,Duck Pokemon,0.8,19.6,20,Psykokwak,Psyduck,Enton,Psyduck,TRUE,50,50,TRUE,190,Medium Fast,Yellow,70,50,52,48,65,50,55,64,Water 1,Field,Water,,0,0,0,1,0,0,"If its chronic headache peaks, it may exhibit odd powers. It seems unable to recall such an episode.",Damp,Cloud Nine,Swift Swim,FALSE,FALSE,TRUE,basic,33,https://bulbapedia.bulbagarden.net/wiki/Psyduck_(Pok%C3%A9mon)
55,Golduck,1,1,Duck Pokemon,1.7,76.6,20,Akwakwak,Golduck,Entoron,Golduck,TRUE,50,50,TRUE,75,Medium Fast,Blue,70,80,82,78,95,80,85,175,Water 1,Field,Water,,0,0,0,2,0,0,"It swims gracefully along on the quiet, slow- moving rivers and lakes of which it is so fond.",Damp,Cloud Nine,Swift Swim,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Golduck_(Pok%C3%A9mon)
56,Mankey,1,1,Pig Monkey Pokemon,0.5,28,20,Ferosinge,Mankey,Menki,Mankey,TRUE,50,50,TRUE,190,Medium Fast,Brown,70,40,80,35,35,45,70,61,Field,,Fighting,,0,1,0,0,0,0,"It is extremely quick to anger. It could be docile one moment, then thrashing away the next instant.",Vital Spirit,Anger Point,Defiant,FALSE,FALSE,TRUE,basic,28,https://bulbapedia.bulbagarden.net/wiki/Mankey_(Pok%C3%A9mon)
57,Primeape,1,1,Pig Monkey Pokemon,1,32,20,Colossinge,Primeape,Rasaff,Primeape,TRUE,50,50,TRUE,75,Medium Fast,Brown,70,65,105,60,60,70,95,159,Field,,Fighting,,0,2,0,0,0,0,Some researchers theorize that Primeape remains angry even when inside a Poke Ball.,Vital Spirit,Anger Point,Defiant,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Primeape_(Pok%C3%A9mon)
58,Growlithe,1,2,Puppy Pokemon,0.7,19,20,Caninos,Growlithe,Fukano,Growlithe,TRUE,25,75,TRUE,190,Slow,Brown,70,55,70,45,70,50,60,70,Field,,Fire,,0,1,0,0,0,0,It's very friendly and faithful to people. It will try to repel enemies by barking and biting.,Intimidate,Flash Fire,Justified,FALSE,FALSE,TRUE,basic,,https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon)
59,Arcanine,1,2,Legendary Pokemon,1.9,155,20,Arcanin,Arcanine,Arkani,Arcanine,TRUE,25,75,TRUE,75,Slow,Brown,70,90,110,80,100,80,95,194,Field,,Fire,,0,2,0,0,0,0,Its magnificent bark conveys a sense of majesty. Anyone hearing it can't help but grovel before it.,Intimidate,Flash Fire,Justified,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon)
