,name_en,syllables,syllable_count,forms,category,height_m,weight_kg,has_gender,female_percent,is_breedable,catch_rate,leveling_rate,base_hp,base_atk,base_def,base_spatk,base_spdef,base_speed,base_stat_total,egg_group_0,egg_group_1,type_0,type_1,ability_0,ability_1,hidden_ability,is_legendary,is_mythical,is_part_of_evolution,stage,evolution_level
18,Rattata,"['Rat', 'ta', 'ta']",3,2,Mouse Pokemon,0.3,3.5,True,50.0,True,255,Medium Fast,30,56,35,25,35,72,253,Field,,Normal,,Run Away,Guts,Hustle,False,False,True,1,20.0
19,Raticate,"['Ra', 'ti', 'ca', 'te']",4,2,Mouse Pokemon,0.7,18.5,True,50.0,True,127,Medium Fast,55,81,60,50,70,97,413,Field,,Normal,,Run Away,Guts,Hustle,False,False,True,2,
20,Spearow,"['Spea', 'row']",2,1,Tiny Bird Pokemon,0.3,2.0,True,50.0,True,255,Medium Fast,40,60,30,31,31,70,262,Flying,,Normal,Flying,Keen Eye,,Sniper,False,False,True,1,20.0
21,Fearow,"['Fea', 'row']",2,1,Beak Pokemon,1.2,38.0,True,50.0,True,90,Medium Fast,65,90,65,61,61,100,442,Flying,,Normal,Flying,Keen Eye,,Sniper,False,False,True,2,
22,Ekans,['Ekans'],1,1,Snake Pokemon,2.0,6.9,True,50.0,True,255,Medium Fast,35,60,44,40,54,55,288,Field,Dragon,Poison,,Intimidate,Shed Skin,Unnerve,False,False,True,1,22.0
23,Arbok,['Arbok'],1,1,Cobra Pokemon,3.5,65.0,True,50.0,True,90,Medium Fast,60,85,69,65,79,80,438,Field,Dragon,Poison,,Intimidate,Shed Skin,Unnerve,False,False,True,2,
24,Pikachu,"['Pi', 'kac', 'hu']",3,1,Mouse Pokemon,0.4,6.0,True,50.0,True,190,Medium Fast,35,55,30,50,40,90,300,Field,Fairy,Electric,,Static,,Lightning Rod,False,False,True,2,
25,Raichu,"['Raic', 'hu']",2,2,Mouse Pokemon,0.8,30.0,True,50.0,True,75,Medium Fast,60,90,55,90,80,100,475,Field,Fairy,Electric,,Static,,Lightning Rod,False,False,True,3,
26,Sandshrew,"['Sands', 'hrew']",2,2,Mouse Pokemon,0.6,12.0,True,50.0,True,255,Medium Fast,50,75,85,20,30,40,300,Field,,Ground,,Sand Veil,,Sand Rush,False,False,True,1,22.0
27,Sandslash,"['San', 'dslash']",2,2,Mouse Pokemon,1.0,29.5,True,50.0,True,90,Medium Fast,75,100,110,45,55,65,450,Field,,Ground,,Sand Veil,,Sand Rush,False,False,True,2,
28,Nidorina,"['Ni', 'do', 'ri', 'na']",4,1,Poison Pin Pokemon,0.8,20.0,True,100.0,True,120,Medium Slow,70,62,67,55,55,56,365,No Eggs Discovered,,Poison,,Poison Point,Rivalry,Hustle,False,False,True,2,
29,Nidoqueen,"['Ni', 'do', 'que', 'en']",4,1,Drill Pokemon,1.3,60.0,True,100.0,True,45,Medium Slow,90,82,87,75,85,76,495,No Eggs Discovered,,Poison,Ground,Poison Point,Rivalry,Sheer Force,False,False,True,3,
30,Nidorino,"['Ni', 'do', 'ri', 'no']",4,1,Poison Pin Pokemon,0.9,19.5,True,0.0,True,120,Medium Slow,61,72,57,55,55,65,365,Monster,Field,Poison,,Poison Point,Rivalry,Hustle,False,False,True,2,
31,Nidoking,"['Ni', 'do', 'king']",3,1,Drill Pokemon,1.4,62.0,True,0.0,True,45,Medium Slow,81,92,77,85,75,85,495,Monster,Field,Poison,Ground,Poison Point,Rivalry,Sheer Force,False,False,True,3,
32,Clefairy,"['Cle', 'fai', 'ry']",3,1,Fairy Pokemon,0.6,7.5,True,75.0,True,150,Fast,70,45,48,60,65,35,323,Fairy,,Fairy,,Cute Charm,Magic Guard,Friend Guard,False,False,True,2,
33,Clefable,"['Cle', 'fa', 'ble']",3,1,Fairy Pokemon,1.3,40.0,True,75.0,True,25,Fast,95,70,73,85,90,60,473,Fairy,,Fairy,,Cute Charm,Magic Guard,Unaware,False,False,True,3,
34,Vulpix,"['Vul', 'pix']",2,2,Fox Pokemon,0.6,9.9,True,75.0,True,190,Medium Fast,38,41,40,50,65,65,299,Field,,Fire,,Flash Fire,,Drought,False,False,True,1,
35,Ninetales,"['Ni', 'ne', 'ta', 'les']",4,2,Fox Pokemon,1.1,19.9,True,75.0,True,75,Medium Fast,73,76,75,81,100,100,505,Field,,Fire,,Flash Fire,,Drought,False,False,True,2,
36,Jigglypuff,"['Jig', 'gly', 'puff']",3,1,Balloon Pokemon,0.5,5.5,True,75.0,True,170,Fast,115,45,20,45,25,20,270,Fairy,,Normal,Fairy,Cute Charm,Competitive,Friend Guard,False,False,True,2,
37,Wigglytuff,"['Wig', 'gly', 'tuff']",3,1,Balloon Pokemon,1.0,12.0,True,75.0,True,50,Fast,140,70,45,75,50,45,425,Fairy,,Normal,Fairy,Cute Charm,Competitive,Frisk,False,False,True,3,
38,Zubat,"['Zu', 'bat']",2,1,Bat Pokemon,0.8,7.5,True,50.0,True,255,Medium Fast,40,45,35,30,40,55,245,Flying,,Poison,Flying,Inner Focus,,Infiltrator,False,False,True,1,22.0
39,Golbat,"['Gol', 'bat']",2,1,Bat Pokemon,1.6,55.0,True,50.0,True,90,Medium Fast,75,80,70,65,75,90,455,Flying,,Poison,Flying,Inner Focus,,Infiltrator,False,False,True,2,
40,Oddish,['Oddish'],1,1,Weed Pokemon,0.5,5.4,True,50.0,True,255,Medium Slow,45,50,55,75,65,30,320,Grass,,Grass,Poison,Chlorophyll,,Run Away,False,False,True,1,21.0
41,Gloom,['Gloom'],1,1,Weed Pokemon,0.8,8.6,True,50.0,True,120,Medium Slow,60,65,70,85,75,40,395,Grass,,Grass,Poison,Chlorophyll,,Stench,False,False,True,2,
42,Vileplume,"['Vi', 'le', 'plu', 'me']",4,1,Flower Pokemon,1.2,18.6,True,50.0,True,45,Medium Slow,75,80,85,100,90,50,480,Grass,,Grass,Poison,Chlorophyll,,Effect Spore,False,False,True,3,
43,Paras,"['Pa', 'ras']",2,1,Mushroom Pokemon,0.3,5.4,True,50.0,True,190,Medium Fast,35,70,55,45,55,25,285,Bug,Grass,Bug,Grass,Effect Spore,Dry Skin,Damp,False,False,True,1,24.0
44,Parasect,"['Pa', 'ra', 'sect']",3,1,Mushroom Pokemon,1.0,29.5,True,50.0,True,75,Medium Fast,60,95,80,60,80,30,405,Bug,Grass,Bug,Grass,Effect Spore,Dry Skin,Damp,False,False,True,2,
45,Venonat,"['Ve', 'no', 'nat']",3,1,Insect Pokemon,1.0,30.0,True,50.0,True,190,Medium Fast,60,55,50,40,55,45,305,Bug,,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,False,False,True,1,31.0
46,Venomoth,"['Ve', 'no', 'moth']",3,1,Poison Moth Pokemon,1.5,12.5,True,50.0,True,75,Medium Fast,70,65,60,90,75,90,450,Bug,,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,False,False,True,2,
47,Diglett,"['Di', 'glett']",2,2,Mole Pokemon,0.2,0.8,True,50.0,True,255,Medium Fast,10,55,25,35,45,95,265,Field,,Ground,,Sand Veil,Arena Trap,Sand Force,False,False,True,1,26.0
48,Dugtrio,"['Dug', 'trio']",2,2,Mole Pokemon,0.7,33.3,True,50.0,True,50,Medium Fast,35,80,50,50,70,120,405,Field,,Ground,,Sand Veil,Arena Trap,Sand Force,False,False,True,2,
49,Meowth,['Meowth'],1,3,Scratch Cat Pokemon,0.4,4.2,True,50.0,True,255,Medium Fast,40,45,35,40,40,90,290,Field,,Normal,,Pickup,Technician,Unnerve,False,False,True,1,28.0
50,Persian,"['Per', 'sian']",2,2,Classy Cat Pokemon,1.0,32.0,True,50.0,True,90,Medium Fast,65,70,60,65,65,115,440,Field,,Normal,,Limber,Technician,Unnerve,False,False,True,2,
51,Psyduck,"['Psy', 'duck']",2,1,Duck Pokemon,0.8,19.6,True,50.0,True,190,Medium Fast,50,52,48,65,50,55,320,Water 1,Field,Water,,Damp,Cloud Nine,Swift Swim,False,False,True,1,33.0
52,Golduck,"['Gol', 'duck']",2,1,Duck Pokemon,1.7,76.6,True,50.0,True,75,Medium Fast,80,82,78,95,80,85,500,Water 1,Field,Water,,Damp,Cloud Nine,Swift Swim,False,False,True,2,
53,Mankey,"['Man', 'key']",2,1,Pig Monkey Pokemon,0.5,28.0,True,50.0,True,190,Medium Fast,40,80,35,35,45,70,305,Field,,Fighting,,Vital Spirit,Anger Point,Defiant,False,False,True,1,28.0
54,Primeape,"['Pri', 'mea', 'pe']",3,1,Pig Monkey Pokemon,1.0,32.0,True,50.0,True,75,Medium Fast,65,105,60,60,70,95,455,Field,,Fighting,,Vital Spirit,Anger Point,Defiant,False,False,True,2,
55,Growlithe,"['Grow', 'lit', 'he']",3,2,Puppy Pokemon,0.7,19.0,True,25.0,True,190,Slow,55,70,45,70,50,60,350,Field,,Fire,,Intimidate,Flash Fire,Justified,False,False,True,1,
56,Arcanine,"['Arca', 'ni', 'ne']",3,2,Legendary Pokemon,1.9,155.0,True,25.0,True,75,Slow,90,110,80,100,80,95,555,Field,,Fire,,Intimidate,Flash Fire,Justified,False,False,True,2,
57,Poliwag,"['Po', 'li', 'wag']",3,1,Tadpole Pokemon,0.6,12.4,True,50.0,True,255,Medium Slow,40,50,40,40,40,90,300,Water 1,,Water,,Water Absorb,Damp,Swift Swim,False,False,True,1,25.0
58,Poliwhirl,"['Po', 'liw', 'hirl']",3,1,Tadpole Pokemon,1.0,20.0,True,50.0,True,120,Medium Slow,65,65,65,50,50,90,385,Water 1,,Water,,Water Absorb,Damp,Swift Swim,False,False,True,2,
59,Poliwrath,"['Po', 'liw', 'rath']",3,1,Tadpole Pokemon,1.3,54.0,True,50.0,True,45,Medium Slow,90,85,95,70,90,70,500,Water 1,,Water,Fighting,Water Absorb,Damp,Swift Swim,False,False,True,3,
60,Abra,['Abra'],1,1,Psi Pokemon,0.9,19.5,True,25.0,True,200,Medium Slow,25,20,15,105,55,90,310,Human-Like,,Psychic,,Synchronize,Inner Focus,Magic Guard,False,False,True,1,16.0
61,Kadabra,"['Ka', 'da', 'bra']",3,1,Psi Pokemon,1.3,56.5,True,25.0,True,100,Medium Slow,40,35,30,120,70,105,400,Human-Like,,Psychic,,Synchronize,Inner Focus,Magic Guard,False,False,True,2,
62,Alakazam,"['Ala', 'ka', 'zam']",3,1,Psi Pokemon,1.5,48.0,True,25.0,True,50,Medium Slow,55,50,45,135,85,120,490,Human-Like,,Psychic,,Synchronize,Inner Focus,Magic Guard,False,False,True,3,
63,Machop,"['Mac', 'hop']",2,1,Superpower Pokemon,0.8,19.5,True,25.0,True,180,Medium Slow,70,80,50,35,35,35,305,Human-Like,,Fighting,,Guts,No Guard,Steadfast,False,False,True,1,28.0
64,Machoke,"['Mac', 'ho', 'ke']",3,1,Superpower Pokemon,1.5,70.5,True,25.0,True,90,Medium Slow,80,100,70,50,60,45,405,Human-Like,,Fighting,,Guts,No Guard,Steadfast,False,False,True,2,
65,Machamp,"['Mac', 'hamp']",2,1,Superpower Pokemon,1.6,130.0,True,25.0,True,45,Medium Slow,90,130,80,65,85,55,505,Human-Like,,Fighting,,Guts,No Guard,Steadfast,False,False,True,3,
66,Bellsprout,"['Bells', 'prout']",2,1,Flower Pokemon,0.7,4.0,True,50.0,True,255,Medium Slow,50,75,35,70,30,40,300,Grass,,Grass,Poison,Chlorophyll,,Gluttony,False,False,True,1,21.0
67,Weepinbell,"['Wee', 'pin', 'bell']",3,1,Flycatcher Pokemon,1.0,6.4,True,50.0,True,120,Medium Slow,65,90,50,85,45,55,390,Grass,,Grass,Poison,Chlorophyll,,Gluttony,False,False,True,2,
68,Victreebel,"['Vic', 'tree', 'bel']",3,1,Flycatcher Pokemon,1.7,15.5,True,50.0,True,45,Medium Slow,80,105,65,100,60,70,480,Grass,,Grass,Poison,Chlorophyll,,Gluttony,False,False,True,3,
69,Tentacool,"['Ten', 'ta', 'cool']",3,1,Jellyfish Pokemon,0.9,45.5,True,50.0,True,190,Slow,40,40,35,50,100,70,335,Water 3,,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,False,False,True,1,30.0
70,Tentacruel,"['Ten', 'ta', 'cruel']",3,1,Jellyfish Pokemon,1.6,55.0,True,50.0,True,60,Slow,80,70,65,80,120,100,515,Water 3,,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,False,False,True,2,
71,Geodude,"['Geo', 'du', 'de']",3,2,Rock Pokemon,0.4,20.0,True,50.0,True,255,Medium Slow,40,80,100,30,30,20,300,Mineral,,Rock,Ground,Rock Head,Sturdy,Sand Veil,False,False,True,1,25.0
72,Graveler,"['Gra', 've', 'ler']",3,2,Rock Pokemon,1.0,105.0,True,50.0,True,120,Medium Slow,55,95,115,45,45,35,390,Mineral,,Rock,Ground,Rock Head,Sturdy,Sand Veil,False,False,True,2,
73,Golem,"['Go', 'lem']",2,2,Megaton Pokemon,1.4,300.0,True,50.0,True,45,Medium Slow,80,110,130,55,65,45,485,Mineral,,Rock,Ground,Rock Head,Sturdy,Sand Veil,False,False,True,3,
74,Ponyta,"['Po', 'ny', 'ta']",3,2,Fire Horse Pokemon,1.0,30.0,True,50.0,True,190,Medium Fast,50,85,55,65,65,90,410,Field,,Fire,,Run Away,Flash Fire,Flame Body,False,False,True,1,40.0
75,Rapidash,"['Ra', 'pi', 'dash']",3,2,Fire Horse Pokemon,1.7,95.0,True,50.0,True,60,Medium Fast,65,100,70,80,80,105,500,Field,,Fire,,Run Away,Flash Fire,Flame Body,False,False,True,2,
76,Slowpoke,"['Slow', 'po', 'ke']",3,2,Dopey Pokemon,1.2,36.0,True,50.0,True,190,Medium Fast,90,65,65,40,40,15,315,Monster,Water 1,Water,Psychic,Oblivious,Own Tempo,Regenerator,False,False,True,1,37.0
77,Slowbro,"['Slow', 'bro']",2,2,Hermit Crab Pokemon,1.6,78.5,True,50.0,True,75,Medium Fast,95,75,110,100,80,30,490,Monster,Water 1,Water,Psychic,Oblivious,Own Tempo,Regenerator,False,False,True,2,
78,Magnemite,"['Ma', 'gne', 'mi', 'te']",4,1,Magnet Pokemon,0.3,6.0,False,0.0,True,190,Medium Fast,25,35,70,95,55,45,325,Mineral,,Electric,Steel,Magnet Pull,Sturdy,Analytic,False,False,True,1,30.0
79,Magneton,"['Ma', 'gne', 'ton']",3,1,Magnet Pokemon,1.0,60.0,False,0.0,True,60,Medium Fast,50,60,95,120,70,70,465,Mineral,,Electric,Steel,Magnet Pull,Sturdy,Analytic,False,False,True,2,
80,Doduo,"['Do', 'duo']",2,1,Twin Bird Pokemon,1.4,39.2,True,50.0,True,190,Medium Fast,35,85,45,35,35,75,310,Flying,,Normal,Flying,Run Away,Early Bird,Tangled Feet,False,False,True,1,31.0
81,Dodrio,"['Do', 'drio']",2,1,Triple Bird Pokemon,1.8,85.2,True,50.0,True,45,Medium Fast,60,110,70,60,60,100,460,Flying,,Normal,Flying,Run Away,Early Bird,Tangled Feet,False,False,True,2,
82,Seel,['Seel'],1,1,Sea Lion Pokemon,1.1,90.0,True,50.0,True,190,Medium Fast,65,45,55,45,70,45,325,Water 1,Field,Water,,Thick Fat,Hydration,Ice Body,False,False,True,1,34.0
83,Dewgong,"['Dew', 'gong']",2,1,Sea Lion Pokemon,1.7,120.0,True,50.0,True,75,Medium Fast,90,70,80,70,95,70,475,Water 1,Field,Water,Ice,Thick Fat,Hydration,Ice Body,False,False,True,2,
84,Grimer,"['Gri', 'mer']",2,2,Sludge Pokemon,0.9,30.0,True,50.0,True,190,Medium Fast,80,80,50,40,50,25,325,Amorphous,,Poison,,Stench,Sticky Hold,Poison Touch,False,False,True,1,38.0
85,Muk,['Muk'],1,2,Sludge Pokemon,1.2,30.0,True,50.0,True,75,Medium Fast,105,105,75,65,100,50,500,Amorphous,,Poison,,Stench,Sticky Hold,Poison Touch,False,False,True,2,
86,Shellder,"['Shell', 'der']",2,1,Bivalve Pokemon,0.3,4.0,True,50.0,True,190,Slow,30,65,100,45,25,40,305,Water 3,,Water,,Shell Armor,Skill Link,Overcoat,False,False,True,1,
87,Cloyster,"['Cloys', 'ter']",2,1,Bivalve Pokemon,1.5,132.5,True,50.0,True,60,Slow,50,95,180,85,45,70,525,Water 3,,Water,Ice,Shell Armor,Skill Link,Overcoat,False,False,True,2,
88,Gastly,"['Gas', 'tly']",2,1,Gas Pokemon,1.3,0.1,True,50.0,True,190,Medium Slow,30,35,30,100,35,80,310,Amorphous,,Ghost,Poison,Levitate,,,False,False,True,1,25.0
89,Haunter,"['Haun', 'ter']",2,1,Gas Pokemon,1.6,0.1,True,50.0,True,90,Medium Slow,45,50,45,115,55,95,405,Amorphous,,Ghost,Poison,Levitate,,,False,False,True,2,
90,Gengar,"['Gen', 'gar']",2,1,Shadow Pokemon,1.5,40.5,True,50.0,True,45,Medium Slow,60,65,60,130,75,110,500,Amorphous,,Ghost,Poison,Cursed Body,,,False,False,True,3,
91,Onix,['Onix'],1,1,Rock Snake Pokemon,8.8,210.0,True,50.0,True,45,Medium Fast,35,45,160,30,45,70,385,Mineral,,Rock,Ground,Rock Head,Sturdy,Weak Armor,False,False,True,1,
92,Drowzee,"['Drow', 'zee']",2,1,Hypnosis Pokemon,1.0,32.4,True,50.0,True,190,Medium Fast,60,48,45,43,90,42,328,Human-Like,,Psychic,,Insomnia,Forewarn,Inner Focus,False,False,True,1,26.0
93,Hypno,"['Hy', 'pno']",2,1,Hypnosis Pokemon,1.6,75.6,True,50.0,True,75,Medium Fast,85,73,70,73,115,67,483,Human-Like,,Psychic,,Insomnia,Forewarn,Inner Focus,False,False,True,2,
94,Krabby,"['Krab', 'by']",2,1,River Crab Pokemon,0.4,6.5,True,50.0,True,225,Medium Fast,30,105,90,25,25,50,325,Water 3,,Water,,Hyper Cutter,Shell Armor,Sheer Force,False,False,True,1,28.0
95,Kingler,"['Kin', 'gler']",2,1,Pincer Pokemon,1.3,60.0,True,50.0,True,60,Medium Fast,55,130,115,50,50,75,475,Water 3,,Water,,Hyper Cutter,Shell Armor,Sheer Force,False,False,True,2,
96,Voltorb,"['Vol', 'torb']",2,2,Ball Pokemon,0.5,10.4,False,0.0,True,190,Medium Fast,40,30,50,55,55,100,330,Mineral,,Electric,,Soundproof,Static,Aftermath,False,False,True,1,30.0
97,Electrode,"['Elec', 'tro', 'de']",3,2,Ball Pokemon,1.2,66.6,False,0.0,True,60,Medium Fast,60,50,70,80,80,140,480,Mineral,,Electric,,Soundproof,Static,Aftermath,False,False,True,2,
98,Exeggcute,"['Exegg', 'cu', 'te']",3,1,Egg Pokemon,0.4,2.5,True,50.0,True,90,Slow,60,40,80,60,45,40,325,Grass,,Grass,Psychic,Chlorophyll,,Harvest,False,False,True,1,
99,Exeggutor,"['Exeg', 'gu', 'tor']",3,2,Coconut Pokemon,2.0,120.0,True,50.0,True,45,Slow,95,95,85,125,65,55,520,Grass,,Grass,Psychic,Chlorophyll,,Harvest,False,False,True,2,
100,Cubone,"['Cu', 'bo', 'ne']",3,1,Lonely Pokemon,0.4,6.5,True,50.0,True,190,Medium Fast,50,50,95,40,50,35,320,Monster,,Ground,,Rock Head,Lightning Rod,Battle Armor,False,False,True,1,28.0
101,Marowak,"['Ma', 'ro', 'wak']",3,2,Bone Keeper Pokemon,1.0,45.0,True,50.0,True,75,Medium Fast,60,80,110,50,80,45,425,Monster,,Ground,,Rock Head,Lightning Rod,Battle Armor,False,False,True,2,
102,Hitmonlee,"['Hi', 'tmon', 'lee']",3,1,Kicking Pokemon,1.5,49.8,True,0.0,True,45,Medium Fast,50,120,53,35,110,87,455,Human-Like,,Fighting,,Limber,Reckless,Unburden,False,False,True,2,
103,Hitmonchan,"['Hi', 'tmonc', 'han']",3,1,Punching Pokemon,1.4,50.2,True,0.0,True,45,Medium Fast,50,105,79,35,110,76,455,Human-Like,,Fighting,,Keen Eye,Iron Fist,Inner Focus,False,False,True,2,
104,Lickitung,"['Lic', 'ki', 'tung']",3,1,Licking Pokemon,1.2,65.5,True,50.0,True,45,Medium Fast,90,55,75,60,75,30,385,Monster,,Normal,,Own Tempo,Oblivious,Cloud Nine,False,False,True,1,
105,Koffing,"['Kof', 'fing']",2,1,Poison Gas Pokemon,0.6,1.0,True,50.0,True,190,Medium Fast,40,65,95,60,45,35,340,Amorphous,,Poison,,Levitate,Neutralizing Gas,Stench,False,False,True,1,35.0
106,Weezing,"['Wee', 'zing']",2,2,Poison Gas Pokemon,1.2,9.5,True,50.0,True,60,Medium Fast,65,90,120,85,70,60,490,Amorphous,,Poison,,Levitate,Neutralizing Gas,Stench,False,False,True,2,
107,Rhyhorn,"['Rhy', 'horn']",2,1,Spikes Pokemon,1.0,115.0,True,50.0,True,120,Slow,80,85,95,30,30,25,345,Monster,Field,Ground,Rock,Lightning Rod,Rock Head,Reckless,False,False,True,1,42.0
108,Rhydon,"['Rhy', 'don']",2,1,Drill Pokemon,1.9,120.0,True,50.0,True,60,Slow,105,130,120,45,45,40,485,Monster,Field,Ground,Rock,Lightning Rod,Rock Head,Reckless,False,False,True,2,
109,Chansey,"['Chan', 'sey']",2,1,Egg Pokemon,1.1,34.6,True,100.0,True,30,Fast,250,5,5,35,105,50,450,Fairy,,Normal,,Natural Cure,Serene Grace,Healer,False,False,True,2,
110,Tangela,"['Tan', 'ge', 'la']",3,1,Vine Pokemon,1.0,35.0,True,50.0,True,45,Medium Fast,65,55,115,100,40,60,435,Grass,,Grass,,Chlorophyll,Leaf Guard,Regenerator,False,False,True,1,
111,Kangaskhan,"['Kan', 'gask', 'han']",3,1,Parent Pokemon,2.2,80.0,True,100.0,True,45,Medium Fast,105,95,80,40,80,90,490,Monster,,Normal,,Early Bird,Scrappy,Inner Focus,False,False,False,1,
112,Horsea,"['Hor', 'sea']",2,1,Dragon Pokemon,0.4,8.0,True,50.0,True,225,Medium Fast,30,40,70,70,25,60,295,Water 1,Dragon,Water,,Swift Swim,Sniper,Damp,False,False,True,1,32.0
113,Seadra,"['Sea', 'dra']",2,1,Dragon Pokemon,1.2,25.0,True,50.0,True,75,Medium Fast,55,65,95,95,45,85,440,Water 1,Dragon,Water,,Poison Point,Sniper,Damp,False,False,True,2,
114,Goldeen,"['Gol', 'deen']",2,1,Goldfish Pokemon,0.6,15.0,True,50.0,True,225,Medium Fast,45,67,60,35,50,63,320,Water 2,,Water,,Swift Swim,Water Veil,Lightning Rod,False,False,True,1,33.0
115,Seaking,"['Sea', 'king']",2,1,Goldfish Pokemon,1.3,39.0,True,50.0,True,60,Medium Fast,80,92,65,65,80,68,450,Water 2,,Water,,Swift Swim,Water Veil,Lightning Rod,False,False,True,2,
116,Staryu,"['Sta', 'ryu']",2,1,Star Shape Pokemon,0.8,34.5,False,0.0,True,225,Slow,30,45,55,70,55,85,340,Water 3,,Water,,Illuminate,Natural Cure,Analytic,False,False,True,1,
117,Starmie,"['Star', 'mie']",2,1,Mysterious Pokemon,1.1,80.0,False,0.0,True,60,Slow,60,75,85,100,85,115,520,Water 3,,Water,Psychic,Illuminate,Natural Cure,Analytic,False,False,True,2,
118,Scyther,"['Scyt', 'her']",2,1,Mantis Pokemon,1.5,56.0,True,50.0,True,45,Medium Fast,70,110,80,55,80,105,500,Bug,,Bug,Flying,Swarm,Technician,Steadfast,False,False,True,1,
